hfrequency,vfrequency,voltage
93790129.81906158,91535258.54572706,0.2704048029500779
111165487.20914653,81564792.32740578,0.09391574457347139
114995773.55670267,115748448.93678273,0.09760219819153602
97524693.013437,97550967.43249667,0.37900490374298895
112601319.36854117,105946672.45328209,0.27636529998917103
104633626.0459655,96849359.14812747,0.42063157092690445
94083335.07453537,107292964.97483929,0.16092579914145505
101849454.34319939,98795744.25148219,0.37197002314673505
104980928.08673856,95878605.12734339,0.4189572449310234
98840987.76407167,80118145.51629609,0.06460654538317595
111886581.56958804,107231598.86335818,0.22153427381408625
98879644.18877764,92318076.79465075,0.281787283294943
103300292.68375766,93735979.61339523,0.3062018747409295
83270374.36511761,102597030.66701044,0.15947879310758697
108126839.92050675,94012390.87289006,0.5329413017358878
82446323.62669492,119889517.61367023,0.052640098563265764
104821204.45195116,100035776.81810628,0.4025415484809485
103109654.60550138,103156213.97897926,0.25658520059723167
104620334.41050911,96945934.39949659,0.440909794115831
88749581.30050716,99016205.6673893,0.4314108461362422
90361088.95468684,101665883.4306832,0.3070267744991475
82792043.1816717,111827177.28647932,0.07623918456770247
96839304.58604002,90089004.62761453,0.2038405565233843
109219740.81569718,81461869.97680761,0.09251638516366298
80594833.32036579,97759745.26980941,0.35634412433750723
108791275.95092411,107340967.57837148,0.22339744245101598
90192779.77710964,114814616.24389547,0.08372392354955845
112210541.08402349,87511476.51006475,0.2417084844789439
98068115.65356162,83858870.3178708,0.08864508289546853
101030863.85010107,113886837.5193455,0.08593051915211293
115263533.43593474,97052279.1274262,0.6365651148575306
99029051.57387316,115141575.54956296,0.08453419742553854
117045042.67583847,111711423.49353836,0.16247698645957157
118820834.0810546,87584202.06239143,0.16862587611256757
82568254.75348863,96457662.67777507,0.2620135405364378
112061921.69156234,94232413.70627831,0.5816855420040944
91046733.57607995,92563184.14458017,0.28194760546562775
116518083.90662819,86460561.5072753,0.14766878697422917
115942775.62762226,112225219.03508782,0.1273762191700308
99468164.84147742,96219573.24720344,0.35326155089568856
90082283.5870748,88673611.45017254,0.16943041214243895
119922076.74669394,86582344.85043481,0.10683011732257769
85082324.38333832,97577412.19826399,0.2367315780203502
83919915.75118485,119812692.1821499,0.049289421449347594
104761664.15794227,102331074.80750377,0.3096719778086595
82747646.39746797,110152100.85002643,0.09772454932179545
89003664.36441916,92214465.14952376,0.3321517337947504
118208428.88300067,92230295.90689053,0.36416869006782165
107166923.6321846,86399258.58116874,0.16293292021164174
81668085.40226772,81338847.44365631,0.03433968842665687
80171659.53624246,100098388.77307937,0.3304751576631405
114460029.00837812,105772140.33374564,0.23661822743300637
89992323.13983692,82864610.71300282,0.08388598957543311
107500766.93371244,115895076.37941712,0.10017427208985849
108458892.25132579,98288422.48079318,0.6830550566457299
91743926.36393034,105026250.8367408,0.1998570849891038
87863225.3149362,110917017.21028687,0.11452490647472725
101711224.30533266,84014032.42639616,0.09250940974290335
118656814.9382228,90086739.54047547,0.25116484863986305
112124606.27918217,109047136.78412533,0.1970405900972286
90495903.45490494,87321319.95241514,0.14575566532411768
98500889.45151487,108942039.2139854,0.13302045963242579
103585674.74609758,118557147.2098574,0.07057947442217126
97634835.92694329,114560357.99865836,0.10239476228053895
80446438.73439704,81400063.90790261,0.03211104149395909
109475047.76961082,100879465.56503737,0.5870379398624499
104059227.81438687,82597403.62775475,0.08931770471823264
107800151.24832153,119996985.31270187,0.08275180866127661
107551839.20156021,111054836.1261697,0.2273353487367861
93986256.91982181,83198922.37125364,0.09868552603821917
118792715.08998504,90573412.61696614,0.2827055074325175
91842839.13628486,111159055.56769057,0.1363094830273719
93230821.15628055,80271963.5207691,0.07455546425515319
88789490.59619221,97511282.2895906,0.40356766662672405
95854300.25175446,107636056.2082265,0.1531682874558621
81374012.29637457,97545344.60397086,0.31538237226148436
113498060.91452393,96605187.24035199,0.6507379322664223
115228867.72387043,101572891.91823277,0.44545259313892493
102778745.81209685,104648006.62983538,0.19687492385418773
81070549.34894814,104499881.70537463,0.16638192825691323
113206629.92679566,104224137.8597293,0.33919972143162525
105393257.20562391,90146722.62271854,0.26209190151319706
80080302.35660504,111896623.38550653,0.09924547231435815
89939963.20614262,99918643.36084387,0.3914735808575916
92096681.8464931,98073702.69275063,0.4217244055970422
116807589.89570042,113629910.97986224,0.11629885723000578
98257529.14426948,84153059.56203225,0.09795895721135452
82300016.54287134,93182665.11939117,0.20754427993316835
99146175.37265018,84564603.92143503,0.10298058511756038
113948623.13740528,83863647.6229721,0.10882610022090626
82016562.74166153,83261085.58137342,0.04520733771674762
91009295.34343593,85129834.63314553,0.10984406162466465
109408047.72371973,101675315.33911315,0.4999779383752375
103440694.35158736,99993829.65011333,0.3537141094441653
97777880.55070011,104762265.38112183,0.1725923028687017
102427921.20317188,105278319.29467213,0.18619133566672164
84249727.14483148,109238571.901747,0.09327603098574262
111580962.6149849,103640857.59695694,0.3838075371893787
116997359.71524227,114083422.27170354,0.11072352717430867
91056468.99674304,95411599.72925775,0.4000251091885232
101256246.03184396,117833497.24278589,0.07008781976540468
100556113.03956774,119239317.33675426,0.06945114386090992
